Virat Kohli is an unbelievable player: Tom Curran,"England cricketer Tom Curran praised Indian captain Virat Kohli, saying, ""He's an unbelievable player."" Curran on being asked about his plans to dismiss the Indian captain at the next T20 World Cup, said, ""Hopefully not with a no-ball! We'll see."" The T20 World Cup will be played in Australia, with India facing England at the MCG on November 1, 2020.",
"Rio gold-winner to undergo knee surgery, vows to return stronger","Rio Olympics gold-winner Carolina Marin is set to undergo knee surgery after having withdrawn from the final of the Indonesia Masters while playing against India's Saina Nehwal. Marin, who is set to be sidelined for around six months, said, ""Time to be ready for the hardest battle, but I have no doubts that I'll be back stronger.""",
"Man falls asleep on live video, wakes up to over 200 viewers",Amazon-owned video platform Twitch streamer 'JesseDStreams' fell asleep for about three hours while live streaming on the platform and woke up to over 200 viewers and multiple money donations. He was filming in the platform's 'Just Chatting' category and fell asleep a few hours into streaming. A clip from the video has since generated over 2 million views on Twitch.,
Will pass Women's Reservation Bill if voted to power: Rahul,"After promising Minimum Income Guarantee for every poor person, Congress President Rahul Gandhi on Tuesday said that if voted to power in 2019, Congress will pass the Women's Reservation Bill. ""We want to see women in positions of leadership,"" he added. The Bill seeks 33% reservation of seats for women in Lok Sabha and all legislative assemblies.",
TMC to assess MPs performance before giving LS polls tickets,"The Trinamool Congress (TMC) will evaluate the performance of its MPs, both inside and outside Parliament, before considering them for renomination for the 2019 Lok Sabha polls, a report said. ""Just because a person is...sitting MP, wouldn't ensure...he or she is entitled for...ticket,"" a party official said. TMC chief Mamata Banerjee will take final call on ticket distributions, official added.",
Cong has become '3G' from '2G' after Priyankaâs entry: Shah,"Talking about Priyanka Gandhi's entry into politics, BJP President Amit Shah on Tuesday said that with the entry of a third 'G', Congress will indulge in more corruption. ""During the UPA...the government was '2G', Sonia Gandhi and Rahul Gandhi. They did corruption...worth â¹12 lakh crore,"" he added. Shah was referring to the 2G spectrum scam under the erstwhile Congress-led Centre.",
US wellness startup Hims becomes unicorn after raising $100M,"US-based wellness startup Hims has become a unicorn after it raised $100 million in a venture-funding round with a pre-money valuation of $1 billion, as confirmed by TechCrunch. A growth-stage investor led the round with participation from existing investors. Founded in 2017, the startup, targeted at males, offers hair-loss products and erectile dysfunction medication, among others.",
"Melting Arctic glaciers reveal landscapes unseen for 40,000 years","Arctic Canada glaciers have retreated to reveal landscapes, which were continuously covered with ice for over 40,000 years, as per Colorado University Boulder researchers. Radiocarbon dating was used on 48 plant samples collected from Baffin Island ice caps to determine its ice cover history. The research found that modern temperatures represented warmest century for the region in 1,15,000 years.",
Woman stabbed to death by husband in her office in Thane,"A man allegedly stabbed his wife to death in her office on Tuesday in Thane's Bhayander, police said. A fight broke out between the couple in the office following which the man pulled out a knife and stabbed her multiple times. The woman was rushed to a nearby hospital where doctors declared her dead on arrival, the police added.",
US imposes sanctions on Venezuelan state-owned oil company,"The US on Monday imposed sanctions on Venezuelan state-owned oil firm PDVSA, aimed at pressuring President Nicolas Maduro to step down. Proceeds from purchases of Venezuelan oil by US entities would flow into blocked accounts and be released only to the legitimate leaders of Venezuela, the US said. It had recognised Venezuela's opposition leader Juan Guaido as the interim President.",
"5 killed, 25 injured in terror attack at Pak police station",At least five people were killed and around 25 others were injured when gunmen attacked a police station in Pakistan's Balochistan on Tuesday. Four gunmen reportedly detonated a grenade before opening fire on police and candidates who were taking an exam to join the force. All terrorists were killed by the security forces in an operation spanning over eight hours.,
"Rana Kapoor, Madhu Kapur to nominate 1 director each to Yes Bank","The two promoter groups of Yes Bank, led by Rana Kapoor and Madhu Kapur, have agreed to nominate one representative director each on the bank's board. The directors' names will be announced at the next meeting in April, the bank said. Yes Bank recently hired Deutsche Bank India chief Ravneet Gill as new MD and CEO to replace Rana Kapoor.",
"Axis Bank Q3 profit more than doubles to â¹1,681 crore ","Private lender Axis Bank on Tuesday reported 131% year-on-year rise in its profit at â¹1,681 crore for the December quarter, beating estimates. The rise was boosted by higher net interest income which rose 18% to â¹5,604 crore. The lender reported an improvement in its asset quality with gross bad loans dipping to 5.75% as against 5.96% in the previous quarter.",
Video: Rekha moves away on realising sheâs posing near Amitabh's pic,"A video of 64-year-old actress Rekha has gone viral, which shows her moving to another place on realising she was posing for the photographers in front of 76-year-old actor Amitabh Bachchan's photo. The video was taken at the launch of photographer Dabboo Ratnani's calendar on Monday. Bachchan, Kartik Aaryan and Alia Bhatt are among the actors who shot for calendar. ",
"Cancer survivor, living best life at 46: Lisa on being called too old","nAfter a man commented 'too old' on 46-year-old actress Lisa Ray's picture, she responded to him by tweeting, ""It's a blessing to be wise, a cancer survivor and living my best life at 46.â ""Honestly not hurt, but adding 'too' to 'old' is a symptom of society's unrealistic expectations for women. Imp. to embrace age,â Ray said in another tweet.",
Our stars play only positive roles all their lives: Nawazuddin,"Actor Nawazuddin Siddiqui, in a recent interview, said Bollywood stars play only positive roles throughout their lives. On being asked why he plays ""so many negative roles"" on screen, Nawazuddin said negative characters used to exist in earlier films when the villains only had negative qualities. ""Why don't you ask stars...why don't they play negative roles?"" he added.",
"US magazine calls pranayama cardiac coherence breathing, criticised","A recent tweet by Scientific American has been criticised by Indian users including Congress MP Shashi Tharoor for calling ancient technique of pranayama ""cardiac coherence breathing"". The magazine's article, however, mentioned pranayama yoga was the first to build a theory around respiratory control. ""It's taking the West a few millennia to learn what our ancients taught us,"" Tharoor tweeted.",
"US doctor prescribes marijuana cookies to 4-yr-old, loses licence","The Medical Board of California has revoked a doctor's licence over ""negligent"" diagnosis of a four-year-old boy and prescribing marijuana-based cookies in 2012 for attention deficit and bipolar disorder. The doctor previously prescribed medical marijuana to the boy's father and his older brother, to treat similar conditions. The doctor's lawyer claimed the revocation has been put on hold for now.",
Ex-IAF officer's son gets 10yrs in Saudi jail over tweet on Prophet,"A former Indian Air Force officer's son from Kerala has been sentenced to 10 years in jail and fined around â¹30 lakh in Saudi Arabia on charges of blasphemy. He was charged over his tweet on Prophet Muhammad while replying to a Muslim woman from London. He was sentenced to five-year jail last year, but it was doubled last week.",
Housekeeper stuck in US billionaire's lift freed after 3 days,"A US woman is recovering in a hospital after she was rescued from an elevator of a billionaire's townhouse in New York where she was stuck for three days. Firefighters forced open the doors of the elevator, which was stuck between the second and third floors. The woman, a housekeeping employee, was freed after a 911 call.",
US man saves woman's life by giving CPR he learned from TV show,A US tyre shop technician saved a woman's life by giving CPR which he had learned from a scene in the American sitcom 'The Office'. Cross Scott was test driving a customer's vehicle when he found the unconscious woman in a car which had its hazard lights flashing. He smashed the car's window and pulled her out before giving CPR.,
Arvind Subramanian proposes â¹18k basic income for rural households,"Ex-Chief Economic Adviser Arvind Subramanian has proposed a Quasi-Universal Basic Rural Income of â¹18,000 annually to each rural household, except those that are ""demonstrably well-off"". He said monthly transfer of â¹1,500 to 75% of the rural population can be covered at a cost of â¹2.64 lakh crore. Subramanian added it should be funded by replacing existing farm and fertiliser subsidies.",
'Uri' will be exempt from state GST in UP: CM Yogi Adityanath,"At a cabinet meeting held in Prayagraj, Uttar Pradesh CM Yogi Adityanath announced that the Vicky Kaushal starrer 'Uri: The Surgical Strike' will be exempt from state GST. ""This film is about the countryâs valour and will instil a feeling of nationalism and patriotism,"" the UP CM said. The film is based on the Indian Army's 2016 surgical strike operation.",
India should lift ban on Pakistani artistes: Singer Shafqat,"Pakistani singer Shafqat Amanat Ali has said that he believes it's ""high time"" India lifts the ban that prevents Pakistani artistes from performing in the country. ""Arts and entertainment industry is a soft target. They know that they canât fight back, so [they] just ban it,"" the singer added. Shafqat further said that he misses performing in India. ",
Delhi court summons Priya Ramani in MJ Akbar defamation case,"Delhi's Patiala House Court on Tuesday issued summons to journalist Priya Ramani as an accused in the defamation case filed by former Union Minister MJ Akbar. Ramani had accused Akbar of sexual harassment in the wake of the #MeToo movement, following which Akbar filed criminal defamation against her. Ramani has been asked to appear in the court on February 25.  n",
Ex-Pak pacer criticises PCB for naming Malik as stand-in captain,"Former Pakistan pacer Sarfraz Nawaz criticised the Pakistan Cricket Board for appointing Shoaib Malik as the team's stand-in captain after Sarfraz Ahmed was handed a four-match ban for his racial comments. Nawaz highlighted the fact that the 36-year-old cricketer, in the past, was asked to quit captaincy in PSL amidst suspicions of fixing matches.",
Cryptocurrency using 99% less data than Bitcoin made: MIT,"MIT researchers claim they have developed a new cryptocurrency 'Vault' that reduces the data users need to join the network and verify transactions by up to 99% compared to cryptocurrencies like Bitcoin. Unlike others, Vault lets users join the network by downloading only a fraction of total transaction data, researchers said. This means a much more scalable network, they added.",
Salvador Dali's AI clone to welcome visitors to his museum,"An artificial intelligence (AI) clone of late Spanish artist Salvador Dali will welcome visitors to The Dali Museum in Florida, US. AI used footages of Dali to mimic his face, which was superimposed on an actor with a similar physique. Authentic writings from Dali were used to enhance the experience, which will be unveiled in April 2019, the museum said.",
 Apple App Store developers earned $120 billion since 2008 ,"Apple revealed its App Store developers have earned $120 billion since the launch of the App Store in 2008. It added developers earned over a quarter of the total earnings in the last year alone. ""App Store is the new digital main street, and creative developers are tapping into the vast potential of...global app economy,"" an Apple senior director said.",
New Apple rules protect users from tricky app subscriptions,"Apple released new guidelines for developers to protect users from apps that trick them into subscriptions. As per the guidelines, apps will have to clearly highlight the subscription rates and mention the exact duration of trial period and the amount charged at the end of it. Apps are also required to clearly show how the purchase can be cancelled.",
Former Gujarat CM Shankersinh Vaghela joins NCP,"Former Gujarat Chief Minister Shankersinh Vaghela joined the Nationalist Congress Party (NCP) on Tuesday in presence of party chief Sharad Pawar. The 78-year-old who left Congress in 2017, on Friday said, ""In public life, a good platform is required to raise issues."" ""Vaghela...is a dynamic leader who knows the pulse of...the country,"" Gujarat NCP chief Jayant Patel had said.",
Every 5th person in Bengal has no access to food: Amit Shah,"BJP President Amit Shah on Tuesday claimed that every fifth person in West Bengal is poor and has no access to food. ""Mamata...took away Ayushman Bharat from Bengal's people. It wouldâve provided healthcare of up to â¹5 lakh to the poor,"" he added. He further alleged that one has to pay bribes to avail any service in Bengal. n",
Shoppers Stop seeks Amazon deal clarity over new FDI norms,"Retail chain Shoppers Stop has said it is seeking more clarity on whether the revised FDI norms in e-commerce could affect its stake sale to Amazon. Amazon had acquired 5% stake in Shoppers Stop through Foreign Portfolio Investor (FPI) route in 2017. ""There has been no change in the partnership yet,"" Shoppers Stop Managing Director Rajiv Suri said.",
Food licence to be mandatory for Kerala temples for prasad,"The BHOG (Blissful Hygienic Offering to God) project, which mandates food safety licence for 'prasads' in temples, will be made compulsory in Kerala temples. Executed by the Food Safety and Standards Authority of India (FSSAI), the policy is to be implemented in temples from March 1. All 'prasad' vendors will reportedly have to obtain FSSAI licence. ",
Nitish breaks down while remembering late George Fernandes,"Bihar Chief Minister Nitish Kumar on Tuesday broke down while speaking on the demise of former Defence Minister George Fernandes. He said, ""His vision has always influenced the way we work for people today."" He added that it would be his resolve not to forget Fernandes' guidance and his fight for the rights of the people.",
Man's head found stuck in train's engine after 110km journey,A decapitated head of a man stuck between springs of a freight train's engine which travelled 110 km was found by the inspecting staff at Birur Junction in Karnataka's Chikkamagaluru district. The staff were checking the engine after the loco pilot complained of dragging wheels. The man had reportedly jumped in front of the speeding train at Ranibennur railway station.,
Army joins rescue operations to find missing Meghalaya miners,"A platoon of Indian Army on Monday joined the rescue operations to search the miners trapped inside a rat-hole mine in Meghalaya, officials said. The soldiers had already started setting up their camps near the tragedy site, officials added. The soldiers will be providing logistics and administrative support to Navy divers, reports said. ",
Indian-origin activist launches new anti-Brexit campaign,Indian-origin activist Gina Miller has along with two other British lawmakers launched a new anti-Brexit campaign named 'Lead Not Leave'. The initiative will push for Britain to remain in the European Union (EU) and restructure the bloc from inside. Miller had earlier sued the British government over its authority to trigger Brexit without the Parliament's approval.,
10 kidnapped children in Tanzania found mutilated for witchcraft,"Ten children who were kidnapped in Tanzania were found dead with their body parts mutilated, the authorities said on Monday. The murders are related to witchcraft, Tanzania's deputy health minister Faustine Ndugulile said. The children, aged between two and nine years old, were all kidnapped from their homes last month.",
Obama sat and watched basketball all day: Trump,"US President Donald Trump told White House visitors that his predecessor Barack Obama sat in the Oval Office's private dining room and ""watched basketball all day"",  The Washington Post reported citing unnamed White House officials. Trump also reportedly told his guests that the dining room was in ""rough shape"" and had a hole in the wall when he moved in.",
Why keep asking Google Assistant to marry you? Google India to users,"Google India used the ""Really Really Really"" meme to ask followers on Twitter why they keep asking the Google Assistant to marry them. Responding to the post, a user wrote, ""You know because you spied your users!"" Other responses read, ""Because she listens to me, always,"" and ""Perhaps stop stalking conversations between two individuals first.""",
Congress posters in Bihar show Rahul Gandhi as Lord Ram,"Ahead of 'Jan Akanksha Rally', Congress posters depicting party chief Rahul Gandhi as Lord Ram have come up in Bihar's Patna. The caption read, ""They'll keep chanting Ram's name! While you live like Ram!!"" ""Rahul ji has all the qualities of Lord Ram and not PM Narendra Modi,"" said Vijay Kumar Singh, party worker who had put up the posters.",
"EC wants ban on digital, print political ads 48 hrs before polls","The Election Commission has written to the Law Ministry to seek a ban on political advertisements in digital and print media in the final 48 hours before elections. This comes ahead of 2019 polls as the commission hopes to prevent negative media influence in the conduct of a fair election. It's important that voters are not unduly influenced, EC said.",
"Need a trusted, experienced CEO: Uber investors told Travis in 2017","A 2017 letter by investors to Uber Co-founder and then CEO Travis Kalanick has now become public, in which the investors told Kalanick they need a ""trusted, experienced, and energetic new CEO."" ""The public perception is that Uber fundamentally lacks ethical and moral values,"" the investors had said. ""You need to immediately and permanently resign as CEO,"" Kalanick was told.",
BJP makes Hema Malini dance for votes: Congress leader,"Claiming BJP only has ""rough faces"", Madhya Pradesh Congress leader Sajjan Singh Verma said, ""They have one Hema Malini and they keep using her to earn votes by performing classical dances."" Verma, who was making the statement after a BJP leader claimed Congress was fielding ""chocolaty"" faces, added, ""They don't have someone as beautiful as Priyanka Gandhi in their party.""",
Ex-Defence Minister Fernandes once forced Coca-Cola out of India,"Ex-Defence Minister George Fernandes, who passed away on Tuesday, forced Coca-Cola to discontinue its Indian operations in 1977 when he was the Industries Minister. Fernandes asked CocaâCola to transfer 60% of ownership in Indian operations and its formula to a local company. The US company said it was agreeable to transferring a majority of the shares but not the formula.",
Pakistan SC upholds Asia Bibi's acquittal in blasphemy case,"Pakistan's Supreme Court upheld the acquittal of Christian woman Asia Bibi in a blasphemy case, rejecting a petition by hardline Islamists to review its earlier decision. Bibi was sentenced to death in 2010 after she was found guilty of insulting Prophet Mohammed. Her conviction was overturned by the top court last year, prompting protests by Islamists calling for her death. ",
Man claims ex-Starbucks CEO gave $5 gift card to celebrate big deal,"A US writer has claimed that billionaire ex-Starbucks CEO Howard Schultz once gave him a $5 gift card to celebrate a ""million-dollar deal"". Guy Endore-Kaiser said Schultz's assistant gave a gift bag which also contained some tea bags after Schultz congratulated him. Endore-Kaiser added when he ordered using the gift card, a Starbucks barista told, ""You still owe fifteen cents.""",
Sanya to play Vidya's daughter in Shakuntala Devi biopic: Report,"Sanya Malhotra will play Vidya Balan's daughter in the upcoming biopic on mathematician Shakuntala Devi, as per reports. This will reportedly be Vidya's second biopic where she will play a lead after her 2011 film 'The Dirty Picture' which was based on Silk Smitha's life. Vidya was last seen in NT Rama Rao's biopic where she played his wife Basavatarakam. ",
Sonam Kapoor to join cast for 'Munna Bhai 3': Reports,"Actress Sonam Kapoor will star in the third instalment of filmmaker Vidhu Vinod Chopra's 'Munna Bhai' franchise, as per reports. The filmmaker had decided to cast Sonam after seeing her performance in her upcoming film 'Ek Ladki Ko Dekha Toh Aisa Laga', reports further said. Sonam earlier acted in the film 'Sanju', which was also produced by Vidhu Vinod Chopra. ",
Planned my wedding with dad on 'Ek Ladki...' sets: Sonam,"Sonam Kapoor revealed that she planned her wedding with Anand Ahuja while shooting for her upcoming film 'Ek Ladki Ko Dekha Toh Aisa Laga', along with her father Anil Kapoor. ""[N]ot much time was wasted as we used to plan...in between takes,"" the actress added. Sonam and Anand tied the knot in Mumbai on May 8, last year. ",
"Good to see India dominating both home, away: Sourav Ganguly","Former Indian captain Sourav Ganguly said, ""It has been complete domination and it's good to see them dominate at home and away as well."" ""The confidence has been great and it's quite impressive to see the bowlers get them out in 50 overs. It's been a great year for India in ODIs,"" Ganguly added after India's win in New Zealand.",
This is the India team I fantasised as a player: Manjrekar,"Speaking about the current Indian team, former Indian cricketer Sanjay Manjrekar tweeted, ""I am seeing an Indian team now that I fantasised about as a player."" Manjrekar, who played 37 Tests and 74 ODIs for India, posted the tweet after India beat New Zealand in the third ODI to clinch the five-match series with a 3-0 scoreline.",
"Pant scores 73, Thakur picks 4-for as India A beat Eng Lions","Rishabh Pant scored an unbeaten 76-ball 73, while Shardul Thakur registered figures of 4/49 to help India A beat England Lions to claim a 4-0 lead in the unofficial one-day series. Pant and Deepak Hooda put on 120 for the fifth wicket to help India chase down the target of 222 runs. India only lost four wickets in the chase.",
"US charges Huawei with stealing trade secrets, bank fraud","The US has charged Huawei and its CFO Meng Wanzhou with conspiring to violate US sanctions by doing business with Iran through a subsidiary it tried to hide. It further alleged the Chinese company stole trade secrets from T-Mobile USA and offered bonuses to employees who stole rivals' technology. Huawei has, however, said the companies settled their dispute in 2017.",
Period-tracking apps selling women's private data: Report,"Popular period-tracking apps are selling women's private data, a Bloomgberg report has claimed. Flo app was found to be selling data to firms like US-based consumer goods' firm 'Procter & Gamble' and German pharmaceutical firm 'Bayer AG' to provide targeted ads, the report said. However, Glow, Ovia and Clue apps claim they don't sell data to third parties, it added.",
Is this fake promise: Mayawati on Rahul's Income Guarantee,"Talking about Congress President Rahul Gandhi's Minimum Income Guarantee, BSP chief Mayawati on Tuesday said, âIs this promise also a fake one like âGaribi Hataoâ and current governmentâs promises on...achhe din?"" ""Both the Congress and the BJP have failed,â she added. Gandhi on Monday said that Congress will give Minimum Income Guarantee to poor if voted to power.",
Late George Fernandes resisted Emergency tooth and nail: PM,"Prime Minister Narendra Modi on Tuesday condoled the demise of former Defence Minister George Fernandes saying he resisted the Emergency tooth and nail. He added during his long years in public life, ""George Sahab never deviated"" from his political ideology. The PM further said that Fernandes was the leader who could ""humble the mightiest of politicians at the hustings"".",
Remove word 'Muslim' from Aligarh Muslim University: BJP MP,"BJP MP Satish Gautam has demanded that the word 'Muslim' should be dropped from the name Aligarh Muslim University. He added that the word Muslim sounds 'hard', whereas the word Hindu has a 'feeling' attached to it. He further said that he is not against such names, but the university should be named just 'Aligarh University'.",
No question of ordinance on Ram Mandir: Ram Vilas Paswan,"Union Minister Ram Vilas Paswan on Monday said there is no question of bringing in an ordinance on the construction of Ram Mandir in Ayodhya and called it a ""closed chapter."" He added, ""I am happy that Prime Minister (Narendra) Modi has told Parliament that the government will wait for the Supreme Court's verdict on Ram Mandir and act accordingly.""",
10 parties from northeast to oppose Citizenship Bill: Meghalaya CM,"Janata Dal (United) and 10 northeastern political parties, including BJP allies, will oppose the Citizenship (Amendment) Bill, Meghalaya CM Conrad Sangma said on Tuesday. The decision was taken at a meeting of the political parties in Guwahati. ""Most political parties in the region were protesting against the bill in their own states...so we decided to come together,"" Sangma added. ",
"Ex-workers sue US startup Munchery, CEO blamed for shutdown","US food delivery startup Munchery, which shutdown a week ago, was sued by a former employee on behalf of himself and 250 others claiming it owes them 60 days' wages. As per the lawsuit, Munchery employees weren't given legally required 60-day notice prior to the shutdown of the startup. A former employee reportedly blamed CEO James Beriker for the shutdown.",
Scientists turn WiFi signal to electricity with 2D materials,"MIT and other university researchers have developed a flexible, battery-free device using a new two-dimensional material, molybdenum disulfide, to turn electromagnetic waves, including those carrying WiFi, into electricity. The device can be fabricated in a roll-to-roll process to cover large areas, scientists claimed. It can be used to power wearable electronics and medical devices, they added.",
Nagaland Cabinet rejects Citizenship (Amendment) Bill,"The Nagaland Cabinet on Monday rejected the Citizenship (Amendment) Bill which was passed in the Lok Sabha earlier this month. People of the state have expressed their opposition to the bill in various forms, a press release by CM Neiphiu Rio and Chief Secretary Temjen Toy said. The Cabinet had earlier said that the bill wasn't applicable to the state.",
Ex-Starbucks CEO doesn't have guts to run for President: Trump,"US President Donald Trump has said that former Starbucks CEO Howard Schultz doesn't have the ""guts"" to run for President. ""(Schultz) is not the 'smartest person'. Besides, America already has that!"" Trump said in an apparent reference to himself. His remarks came after Schultz announced that he was considering running for US President in 2020 as an independent candidate.",
Jet seeks shareholders' approval to convert debt into equity,"Cash-strapped Jet Airways on Monday said it is seeking shareholders' approval for allowing lenders to have a say in the airline's operations by converting loans into shares. It has also proposed to increase authorised share capital from â¹200 crore to â¹2,200 crore. The Naresh Goyal-led airline is further seeking to appoint nominees of banks and financial institutions on its board.",
SBI set to hold 15% stake in Jet post restructuring: Reports,"State Bank of India (SBI) will reportedly take at least 15% stake in cash-strapped Jet Airways as its lenders plan to convert some loans into equity. Reports said the carrier's second-largest shareholder Etihad Airways' stake may go above 40% as it may infuse additional funds. Jet's Chairman Naresh Goyal's stake will fall below 20% from the current 51%, reports added.",
"Juhi called me after my divorce, 6-7 years after our fight: Aamir","Aamir Khan has revealed he and Juhi Chawla didn't speak for around 6-7 years after their fight on the sets of their 1997 film 'Ishq'. ""Juhi called me up...when she got to know about my divorce with Reena,"" he added. ""Juhi somewhere knew I might not pick up her call, but still she called me. That touched me,"" added Aamir.",
George Fernandes fought 1977 election from jail and won,"Former Defence Minister George Fernandes, who passed away on Tuesday at the age of 88, fought the 1977 Lok Sabha election from jail and won Bihar's Muzaffarpur constituency. He was an undertrial in the Baroda Dynamite Case. Fernandes had been charged with smuggling dynamite in an alleged plot to blow up railway tracks and government buildings in the case.",
"Only 1 first-over hat-trick has taken place in 2,343 Test matches","India's Irfan Pathan is the only cricketer to take a hat-trick in a Test's first over, in the format's nearly 142-year-history featuring 2,343 matches. Pathan dismissed Pakistan's Salman Butt, Younis Khan and Mohammad Yousuf on the last three deliveries of the first over in Karachi on January 29, 2006. He is the only Indian pacer to take a Test hat-trick. ",
"Had a crush on Aishwarya, was nervous around her: Rajkummar Rao","Rajkummar Rao, during his appearance on 'Koffee With Karan', revealed he had a ""crush"" on Aishwarya Rai Bachchan when he met her for the first time. Rao, who worked with her in 'Fanney Khan', added he was nervous around her during shooting. He further said if he wasn't dating Patralekhaa, he'd like to take Deepika Padukone on a date.",
Only 1 Test match has been abandoned due to 'dangerous pitch',"The Windies-England Test that began on January 29, 1998, in Jamaica, is the only match in Test cricket's nearly 142-year history which was abandoned as drawn due to 'dangerous pitch'. The match lasted 10.1 overs and 56 minutes as England batsmen were struck several times due to uneven deliveries. The England physiotherapist claimed even bowlers were ""embarrassed"" by the pitch. ",
Apple Facetime bug allows hearing others before they pick up call,A bug in Apple's video calling feature FaceTime has gone viral where audio can be heard on the caller's phone before the person on the other end has accepted or rejected the call. This occurred when a user added self on a Group FaceTime call. Apple said the issue will be fixed in a software update later in the week.,
"Rahul Gandhi meets Goa CM Parrikar, says it was 'personal visit'","Congress President Rahul Gandhi on Tuesday held a meeting with Goa CM Manohar Parrikar at his office in Goa. ""This morning I visited Goa CM, Manohar Parrikar, to wish him a speedy recovery. It was a personal visit,"" Rahul tweeted later. Meanwhile, Congress legislator Chandrakant Kavlekar said the two leaders didn't discuss the Rafale issue.",
"Wife loses election, husband asks voters to return cash distributed",Telangana's rebel Congress leader Uppu Hymavathi's husband Prabhakar went back to voters demanding them to return the money the couple distributed before elections. His wife was a candidate from a ward in Telangana and managed to bag only 24 votes and lost the local ward elections. Cash ranging between â¹500-700 was reportedly distributed among the voters. ,
Don't expect kids to fulfil your unfulfilled dreams: PM to parents,"Addressing parents during 'Pariksha Pe Charcha 2.0', Prime Minister Narendra Modi said, ""Do not expect your children to fulfil your unfulfilled dreams. Every child has his or her own potential and strengths."" He also said that students should never do anything under pressure or be compared to their fellow schoolmates.",
"IT raids conducted at 74 places in Chennai, Coimbatore","The Income Tax department conducted raids at 74 locations in Chennai and Coimbatore in connection with a tax evasion probe against realty business holders and Saravana Stores. The residence of Saravana Stores owner Yogirathinam Pondurai was also raided. Earlier, the department had conducted raids on a number of popular eateries in Tamil Nadu, including Saravana Bhavan outlets.",
Pakistan appoints its first ever female Hindu civil judge,"Suman Kumari has become the first Hindu woman to have been appointed as a civil judge in Pakistan after passing an examination for induction of judicial officers. Kumari, who hails from Qambar-Shahdadkot, will serve in her native district. ""She has opted for a challenging profession...I am sure she will go places through hard work and honesty,"" her father said.",
"Girl slips from 3rd floor balcony, dangles by neck in China","A video of a girl who slipped from a third floor balcony in China's Yunlong County has surfaced online. The video of the incident shows the girl, who was reportedly alone at home, hanging with her neck trapped in between railings. She was rescued by two men who borrowed a ladder and climbed up.",
"Global 'waming', we need you: Trump","As several parts of the US experience extreme cold weather conditions, US President Donald Trump claimed in a tweet we ""need global waming"" which should ""come back fast"". ""In the Midwest, windchill temperatures are reaching minus 60 degrees, the coldest ever recorded. People can't last outside even for minutes. What the hell is going on with Global Waming?"" he tweeted.",
Saudi releases billionaire with $8.7 bn wealth after 15 months,"Saudi Arabia has released Saudi-Ethiopian billionaire Mohammed Al Amoudi nearly 15 months after he was detained under the kingdom's anti-corruption campaign. Confirming Amoudi's release, Ethiopian Prime Minister Abiy Ahmed said he raised the issue during a visit to Saudi last year. Worth $8.7 billion, Amoudi owns gold mines, coffee plantations and a fuel company in Ethiopia, where he was born.",
Happy that nobody objected on me getting Padma Shri: Manoj,"Actor Manoj Bajpayee, who was conferred with the Padma Shri award on Friday, said that he is happy as nobody has objected on him getting the award. ""I have observed that till now, no one has abused me on social media and no one has created controversy when my name [was] announced as one of the awardees,"" added Manoj.",
Rajkummar Rao to replace SRK in Rakesh Sharma biopic: Report,"Actor Rajkummar Rao will replace Shah Rukh Khan in Rakesh Sharma's biopic titled 'Saare Jahaan Se Achcha', as per reports. Earlier, there were reports that Shah Rukh has opted out of the biopic for Farhan Akhtar's 'Don 3' and that Vicky Kaushal will replace him in the film. Aamir had revealed that he suggested Shah Rukh's name for the biopic.",
Shakal dekh ke baahar kar dete the: Kartik on his auditions,"Kartik Aaryan, while talking about his struggling days and the audition process, revealed, ""Shakal dekh ke baahar kar dete the, kuch bolne nahi dete the."" ""They will look at you and say, 'Unfit'. And I would feel ki kuch bolne toh do, kuch audition toh le lo,"" Kartik added. He further said that he always thought something positive would happen.",
"Aamir, Naseeruddin, Navjot Sidhu are traitors: RSS leader ","RSS leader Indresh Kumar on Monday said that actors Naseeruddin Shah and Aamir Khan and Congress leader Navjot Singh Sidhu are ""traitors"" and don't deserve respect. ""They're like Mir Jafar (Najafi Nawab of Bengal) and Jaichand (Rajput king),"" he added. ""India doesnât need Muslim youth like Kasab, Yakub...Ishrat Jahan but...those who walk on path shown by Kalam,"" he further said. ",
"Mandhana, Mithali fifties help India take 2-0 lead vs NZ","Smriti Mandhana and Mithali Raj scored unbeaten fifties, while Jhulan Goswami registered figures of 3/23 to help India take a 2-0 lead over New Zealand in the three-match ICC Women's Championship one-day international series. India won by eight wickets with 88 balls to spare. In her last ten ODIs, Mandhana has scored at least a half-century on eight occasions. ",
T20 World Cup 2020 to not feature India-Pak group phase match,The T20 World Cup 2020 is set to be ICC's first tournament since World Cup 2011 to not feature an India-Pakistan group match. India's opening match is against South Africa on October 24. This will be the first time that the men's and women's tournaments will be held as standalone events in the same country and in the same year.,
"BitGrail owner asked to repay â¹1,200-cr lost cryptocurrency ","An Italian court directed Francesco Firano, owner of cryptocurrency exchange BitGrail, to repay cryptocurrency worth over â¹1,200 crore, which went 'missing' last year, as per a BitGrail victims advocacy group. The court ordered BitGrail to be declared bankrupt, allowing the seizure of assets from its exchange accounts. Firano's personal assets worth over â¹7 crore were also reportedly seized.",
